Player,Season,Rating
Greg Stewart,16,65
Barry Nicholson,14,61
Johnny Russell,13,72
Graeme Shinnie,16,73
Efe Ambrose,16,69
Lee Hollis,14,58
Mark Fotheringham,13,61
Mark Stewart,13,57
Denis Prychynenko,13,52
Henrik Ojamaa,12,64
Stephen McManus,15,65
Jordan Slew,14,63
Paul Gallacher,13,63
Craig Reid,14,56
Marius Zaliukas,13,70
Gary Miller,14,61
Scott Bain,16,64
Grant Gillespie,16,62
Mathias Pogba,15,60
Ziggy Gordon,16,64
Daniel Devine,15,59
Kemy Agustien,16,66
Mark Ridgers,14,56
Abiola Dauda,16,67
Dale Carrick,16,57
Niall McGinn,16,70
Tom Hateley,12,69
Steven Anderson,13,65
Keith Lasley,16,66
Adam King,13,50
Liam Boyce,16,66
Liam Caddis,15,57
Mark Reynolds,12,62
Chris Erskine,14,61
Perry Kitchen,16,70
Yoann Arquin,15,61
James Penrice,16,51
Jason Naismith,13,52
Simon Ramsden,13,62
Carl Tremarco,15,58
Sean Kelly,15,60
Gary Hooper,12,76
Craig Samson,15,63
Graeme Shinnie,16,73
Craig Samson,13,64
Paul Hanlon,14,63
Michael Nelson,12,63
Danny Ward,15,57
Paul Heffernan,14,64
James Fowler,14,59
Lyle Taylor,14,61
Conor Grant,15,57
Cillian Sheridan,13,65
Brian Easton,16,66
Shaleum Logan,16,68
Cameron Bell,12,65
Kris Commons,12,75
Thomas Rogne,13,68
Jason Naismith,14,57
Adam Matthews,15,71
Scott Brown,14,72
Adam Campbell,14,61
Craig Slater,15,60
Scott McDonald,15,68
Joseph Chalmers,16,54
David Mitchell,16,57
Liam Boyce,15,64
David Van Zanten,13,63
Stewart Murdoch,16,56
Callum McGregor,14,64
Iain Vigurs,16,67
Tom Taiwo,13,62
Paul Lawson,13,64
Nir Bitton,16,72
Efe Ambrose,15,68
Scott Fox,14,61
Garcia Tena,15,58
David Raven,14,60
Billy King,14,57
Kyle Letheren,15,62
James Penrice,16,51
Declan McDaid,15,59
Aidan Connolly,14,55
Jack Leitch,14,52
Carl Tremarco,14,58
Kenny McLean,14,64
Manuel Pascali,15,62
Lewis Toshney,14,59
Rory McKeown,13,60
Brad McKay,14,58
Wes Fletcher,15,60
Gary Warren,15,67
Andrew Considine,12,62
Lewis Moore,16,44
Murray Davidson,15,65
Michael Higdon,13,71
Danny Racchi,13,58
Lee Ashcroft,14,53
Steven Hammell,12,68
Scott McKenna,16,57
Scott Brown,12,72
Ian McShane,16,63
Michael Higdon,12,71
Alexandre D'Acol,16,64
Christie Elliot,14,56
Paul Lawson,14,62
Scott Robinson,12,60
Lewis Toshney,13,59
Keith Watson,12,63
Mark O'Hara,15,58
Graham Cummins,15,57
Darren Randolph,13,71
Owain Fon Williams,15,61
Iain Vigurs,16,67
Kieran Tierney,16,64
Chris Robertson,16,63
Kris Doolan,16,65
Callum Booth,16,65
Ryan McGowan,12,64
Gavin Reilly,16,59
Brad McKay,13,51
Stephen McManus,16,66
Kenny McLean,13,64
Darren O'Dea,16,68
Lee Miller,15,63
Steven MacLean,16,66
David McCracken,13,60
Kelvin Wilson,12,69
Gary Miller,13,63
Josh Meekings,15,67
Conor Newton,13,60
Michael McGovern,16,66
David Mackay,12,67
Lassad Nouioui,12,72
Stefan Johansen,15,74
Stuart Armstrong,15,71
John Rankin,15,62
Robbie Muirhead,14,53
Kris Boyd,14,70
Paul Heffernan,15,64
Ryan Christie,16,66
Mark Reynolds,14,66
James Craigen,15,58
Ivan Sproule,13,65
Willo Flood,13,64
Brian Easton,14,61
Ryan Esson,12,60
Michael Gardyne,16,63
Ross Draper,15,65
Richard Brittain,14,66
Billy McKay,12,62
Michael Fraser,14,58
Conor Newton,14,63
Simon Ramsden,14,59
Nick Ross,14,64
Coll Donaldson,16,61
Chris Robertson,16,63
Brian Graham,16,62
Raffaele De Vita,16,64
Ryan Edwards,16,61
Gary Fraser,16,62
Guy Demel,15,70
Connor Ripley,15,60
Mark Brown,14,58
Thomas Konrad,15,56
Mark Durnan,16,61
David Wilson,16,52
Julien Faubert,16,71
Shaleum Logan,15,63
Richard Brittain,13,65
Jamie Walker,12,51
Ryan McGivern,14,60
Scott Wright,16,54
Stephen O'Donnel,15,61
Steven Milne,13,59
Scott Brown,13,73
Lee Johnson,12,66
Jonathan Hayes,13,69
Craig Wighton,16,57
Lyle Taylor,15,62
Gary Harkins,15,66
Chris Robertson,15,61
Ryan Esson,15,59
James Vincent,14,61
Marius Zaliukas,12,71
Murray Davidson,12,66
Conrad Balatoni,16,62
Kevin Luckassen,13,63
Dougie Imrie,13,60
David Mackay,14,64
Ryan Gauld,14,66
Michael Gardyne,16,63
Shaun Hutchinson,14,69
Jon Daly,12,70
Marc McAusland,13,63
Michael O'Halloran,14,63
Shane Sutherland,12,61
Lewis McLear,15,56
Sam Parkin,13,59
Steven MacLean,14,61
Omar Daley,12,61
Nathan Eccleston,15,63
Brian Graham,16,62
Stuart Armstrong,16,70
Raffaele De Vita,16,64
Tom Taiwo,12,62
Niall McGinn,16,70
Mehdi Taouil,13,66
Danny Williams,14,56
Kevin McHattie,14,59
Keith Lasley,16,66
Alan Maybury,13,62
Julien Faubert,16,71
Kris Commons,15,73
Lee Hodson,16,66
Billy McKay,15,69
Fraser Kerr,12,61
David Smith,14,53
Conor Brennan,16,51
Abdul Osman,14,58
Daniel Devine,16,62
Jason Scotland,15,62
Eamonn Brophy,16,58
Emilio Izaguirre,14,72
Gary Harkins,14,66
Jackson Irvine,15,60
Andrew Shinnie,12,66
Owain Fon Williams,16,62
Ryan Stevenson,12,65
Nigel Hasselbaink,14,64
Kris Doolan,15,64
Virgil van Dijk,15,75
Josh Meekings,12,55
Danny Grainger,12,62
Shaleum Logan,16,68
David Smith,13,52
Tim Clancy,14,58
Fraser Mullen,13,55
Graham Carey,15,62
John McGinn,15,65
Jack Leitch,16,57
Gary Mackay-Steven,15,69
Paul McGinn,16,60
James Dayton,13,67
Steven Anderson,12,67
Ross Barbour,15,58
Kyle Letheren,12,56
Carl Tremarco,16,61
Stephen McManus,16,66
Jamie Masson,12,50
Sean Clohessy,13,59
Lee Hodson,16,66
David Goodwillie,13,68
Richie Foran,13,63
Fraser Forster,13,76
Craig Gordon,16,74
Darnell Fisher,14,57
Brian Easton,13,61
Anthony Straker,15,57
Darian MacKinnon,15,55
Ryan Jack,16,69
Mustapha Dumbuya,15,62
Michael Fraser,13,61
Tomas Rogic,13,67
Rory McKenzie,15,63
Ross Tokely,12,59
Dedryck Boyata,16,72
Ryan Fraser,13,66
Josh Meekings,14,66
John Baird,13,60
Fraser Kerr,13,61
Simon Lappin,16,63
Scott McDonald,16,68
Ryan Dow,13,61
Martin Scott,12,63
Mikael Lustig,12,71
Andrew Driver,13,68
Jordan Forster,13,53
Paul Gallacher,15,63
Alan Mannus,14,65
Paul McGinn,16,60
Gary Miller,16,63
Callum Davidson,12,61
Lionel Ainsworth,16,68
James Forrest,14,70
Jordan McGhee,14,54
Josh Meekings,13,60
Daniel Boateng,14,58
Liam Polworth,13,55
Kris Doolan,16,65
Gary Glen,12,61
Jim Goodwin,12,61
Nir Biton,14,62
Callum Tapping,14,57
Michael Devlin,15,57
Chris Millar,15,61
Daniel Seaborne,15,63
Scott Fox,16,62
Adam Collin,16,66
Stuart Findlay,16,55
Steve Simonsen,13,63
Shaun Hutchinson,13,68
Kane Hemmings,16,65
Jo Inge Berget,14,71
Dominic Thomas,15,54
Wes Fletcher,16,61
Chris Erskine,15,64
Alex Harris,13,54
Paul Dummett,12,55
Liam Craig,16,68
Isaac Osbourne,13,63
Kyle Benedictus,13,60
Martin Woods,16,65
Stephen Hughes,12,63
Joe Shaughnessy,16,62
Simon Ferry,15,62
Sean Dillon,15,60
Riccardo Calder,15,49
Rory McKenzie,16,64
Jamie Reckord,14,56
Marc McAusland,12,60
Alex Henshall,16,59
Andrea Mbuyi-Mutombo,16,60
Daniel Seaborne,14,63
Richard Foster,16,62
Emilio Izaguirre,13,71
Stuart Bannigan,16,64
Peter Pawlett,13,63
Stephane Bahoken,13,60
Gary Harkins,13,69
John Guidetti,15,72
Georgios Samaras,14,70
Ross Barbour,13,56
Dylan McGowan,12,58
Callum Morris,16,64
Scott Fox,16,62
Jonathan Hayes,12,70
David Wilson,16,52
David Wotherspoon,12,64
Guy Demel,16,68
Graeme Shinnie,15,69
James Vincent,16,63
Aidan Nesbitt,16,53
Gregory Tade,13,66
Jordan McMillan,14,57
Leigh Griffiths,13,69
Carl Tremarco,16,61
Craig Wighton,16,57
Rory Loy,16,61
Clark Robertson,13,61
Conrad Balatoni,14,60
Liam Kelly,12,67
Paul McGowan,15,64
Yann Songo'o,14,57
Darren Barr,13,63
John Souttar,15,61
Joe Shaughnessy,16,62
Josh Magennis,15,61
Alex Cooper,13,58
Nicky Low,13,58
Christopher McLaughlin,16,50
Willo Flood,16,65
Rory McKenzie,16,64
Darren Barr,12,63
Garry Hay,13,56
Billy McKay,13,68
Leigh Griffiths,14,69
David Robertson,12,64
Graham Carey,12,64
Eric Djemba-Djemba,14,64
Kallum Higginbotham,15,67
Mark Brown,13,62
Lewis Stevenson,14,60
Cameron Kerr,16,55
Scott Fraser,16,58
Iain Vigurs,14,66
Tom Hateley,13,69
Jamie Langfield,12,62
Jack Hendry,15,50
Mikael Lustig,16,72
Abdul Osman,15,64
Kevin Thomson,13,67
Morgaro Gomis,13,69
Rory Boulding,13,59
David Goodwillie,16,68
Abdellah Zoubir,14,59
Stephen McManus,14,67
Scott Brown,15,75
Jackson Irvine,14,56
Luka Tankulic,15,58
Mark Kerr,13,62
Gary Teale,12,65
Mohamadou Sissoko,13,65
David Amoo,16,66
James Forrest,13,72
Kallum Higginbotham,16,68
Arvydas Novikovas,13,66
Jim Goodwin,13,64
Adam Matthews,12,72
Kris Boyd,16,69
Robert Milsom,13,60
Simon Lappin,14,61
Abdellah Zoubir,13,59
Henri Anier,13,57
Liam Henderson,14,53
Zander Clark,16,51
Greg Docherty,16,53
Tomas Cerny,16,67
Dan Twardzik,13,53
Chris Humphrey,12,69
Josh Law,16,61
Donervon Daniels,15,62
Lee Ashcroft,16,63
Greg Stewart,16,65
Jamie Hamill,15,62
Adam Morgan,14,64
David Van Zanten,12,60
Craig Samson,16,64
Conrad Balatoni,15,60
John Souttar,16,64
Frazer Wright,13,64
Calvin Colquhoun,16,53
Marley Watkins,15,65
Michael Ngoo,14,64
Ryan Jack,15,68
Adam Matthews,13,72
Gary Glen,13,59
Danny Wilson,14,63
Ryan Jack,16,69
Arvydas Novikovas,12,60
Blair Spittal,15,58
Joe Shaughnessy,15,60
Evangelos Ikonomou,13,60
Lee Hollis,12,60
Steven Smith,16,61
Sam Nicholson,14,57
Paul Dixon,15,65
Gabriel,14,69
Louis Laing,16,64
Christie Elliot,16,62
Gunnar Nielsen,14,63
Jamie Walker,16,68
Greg Kiltie,15,56
Gwion Edwards,14,58
Chris Millar,13,60
Adam Matthews,14,72
James McPake,14,62
Michael Gardyne,14,61
David Mendes Silva,13,64
Ryan Stevenson,15,63
Adam Drury,15,57
Gary Miller,16,63
Craig Storie,16,56
Nadir Ciftci,14,67
Teemu Pukki,14,68
Lionel Ainsworth,16,68
Reuben Gabriel,13,55
Stefan Scepovic,14,70
Paul McCallum,14,60
Stuart Kettlewell,13,63
Lewis Horner,15,56
Liam Kelly,13,66
Jason Holt,13,60
Stuart Armstrong,14,69
John Souttar,16,64
Jude Winchester,13,44
Niall McGinn,14,69
Keith Lasley,13,68
Danny Williams,16,70
Filip Kiss,14,63
Mark Wilson,13,64
Craig Samson,12,68
Richie Foran,12,66
Scott Boyd,14,58
Gary Hooper,13,74
Marian Kello,15,64
Ryan Christie,15,61
Simon Ramsden,12,60
Charlie Taylor,13,58
Steven Anderson,16,67
Aaron Doran,15,67
Lewis Stevenson,12,61
Nigel Hasselbaink,12,65
Greg Tansey,15,64
Clark Robertson,12,55
Jason Holt,14,59
Rory Fallon,12,62
Jamie MacDonald,16,67
Leigh Griffiths,12,69
Steven MacLean,12,60
David Clarkson,15,64
Ryan Dow,16,64
Josh Magennis,13,62
David Goodwillie,15,68
Nigel Hasselbaink,15,64
Antonio Reguero Chapinal,13,63
Ross Davidson,13,51
Terry Dunfield,14,63
Kenny McLean,15,66
Cameron Smith,13,58
Jake Taylor,15,63
Niall McGinn,15,68
Colin Nish,12,62
Craig Slater,16,62
Ryan Dow,15,65
Craig Samson,16,64
John Rankin,16,63
Frazer Wright,15,65
Richard Foster,16,62
Sean Welsh,16,62
Scott Fraser,16,58
Johnny Russell,12,70
Daniel Seaborne,16,64
Logan Bailly,16,66
Gary Mackay-Steven,16,69
Stephen Mallan,15,58
Darnell Fisher,16,59
Jonathan Franks,16,57
Jamie MacDonald,13,68
Craig Gordon,15,74
Aaron Lennox,16,48
Isaac Osbourne,12,62
Ryan Jack,14,65
Rory Loy,16,61
Paul Dummett,13,62
Stefan Johansen,14,73
Rocco Quinn,15,59
Alex Harris,14,61
Victor Wanyama,13,76
Anthony Stokes,12,75
Gavin Gunning,14,62
Josh Meekings,16,67
Kris Commons,16,73
Callum Paterson,16,67
Lucas,16,81
Eamonn Brophy,15,54
Marcus Fraser,13,53
Jamie Walker,14,62
Willo Flood,16,65
Mario Bilate,15,62
Greg Taylor,16,61
Alex Henshall,16,59
John Herron,14,56
Christopher Dilo,14,57
Craig Thomson,16,53
Steven Hammell,16,64
Craig Slater,16,62
Prince Buaben,16,62
Gary Glen,14,57
David Raven,12,58
Paul McGowan,13,67
Lionel Ainsworth,14,65
Barry Robson,14,66
Fraser Forster,14,75
Liam Hughes,16,57
Jordan McGhee,16,58
David Goodwillie,14,67
Rory Fallon,13,60
Sean Dillon,12,67
Abdul Osman,16,66
Jozo Simunovic,16,66
Jackson Irvine,16,61
Gavin Morrison,12,56
Paul McGowan,14,65
Lionel Ainsworth,13,60
Nadir Ciftci,13,64
Barry Robson,13,66
Dougie Imrie,12,60
Erik Sviatchenko,16,74
Joe Shaughnessy,12,57
Willo Flood,15,65
Ben Hall,15,65
Manuel Pascali,14,64
Jamie Hamill,14,63
Danny Williams,15,60
Joe Shaughnessy,13,59
Tim Clancy,12,62
Paul Hanlon,12,60
Danny Williams,16,70
Paul Cairney,13,63
Andrew Considine,15,61
Rami Gershon,13,67
Jon Robertson,13,58
Antons Kurakins,16,58
Sean Welsh,15,60
Christie Elliot,15,60
Russell Anderson,12,65
Scott Allan,16,66
Steven Saunders,15,61
Kallum Higginbotham,14,65
Jon Daly,13,68
Gary Warren,13,61
Prince Buaben,16,62
Virgil van Dijk,14,74
Billy King,13,58
Ryan Edwards,16,61
Paul McGowan,12,70
Henri Anier,16,61
David Amoo,16,66
Adam Rooney,15,69
Peter Pawlett,14,66
Alan Gow,15,63
Lee Mair,13,60
Adam Frizzell,16,53
Henri Anier,15,62
Ryan Conroy,13,62
Stefan Johansen,16,72
Mikael Lustig,16,72
Callum Paterson,14,62
Mark Kerr,12,66
Steven Lawless,16,66
Calvin Colquhoun,16,53
Jake Jervis,14,64
Jake Carroll,14,60
Ryan Edwards,15,59
Kallum Higginbotham,13,63
Georgios Samaras,12,68
Anthony Stokes,14,71
Rory McKenzie,14,59
Andrew Considine,14,63
Brian Easton,15,64
Michael Hector,13,61
Stuart Kettlewell,14,61
Luke Watt,16,53
Jamie MacDonald,14,67
Ross Draper,14,64
Alan Mannus,13,66
Ryan Jack,13,62
John Rankin,14,63
Martin Canning,15,61
Graham Cummins,16,60
Nir Bitton,15,70
Marcus Fraser,15,56
Scott Robinson,14,60
Gary Dicker,16,64
Edward Ofere,16,65
Sean Dillon,16,62
Abiola Dauda,16,67
Antonio Reguero Chapinal,15,61
Alex Schalk,16,64
Scott Vernon,12,69
James McPake,15,62
Liam Gordon,16,52
Greg Stewart,15,62
Ross Draper,13,62
Paul Heffernan,12,67
Paul McGowan,16,67
Conrad Balatoni,16,62
Gary Harkins,16,66
John Sutton,14,67
Perry Kitchen,16,70
Graeme Shinnie,13,67
Florent Sinama-Pongolle,16,68
Kris Boyd,13,66
Igor Rossi,16,65
Thomas Reilly,13,56
Lee Erwin,14,52
Kieran Sadlier,15,54
Kyle Knoyle,16,57
Aaron Splaine,15,54
Curtis Good,14,61
Jeroen Tesselaar,15,62
Simon Ferry,14,61
James Collins,13,74
Michael Nelson,13,61
Aaron Kuhl,15,60
Branislav Micic,13,55
Brian Graham,15,60
Steven MacLean,13,60
